"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","0","should update profile successfully","chromium","2026-06-01","skipped","2026-06-01","","updateprofile.spec.ts","",""
"","38390","login with valid user","setup","2026-06-01","broken","2026-06-01","","auth.setup.ts","",""
"","1","dashboard test","chromium","2026-05-13","skipped","2026-05-13","","dashboard.spec.ts","",""
